started	session	models	calls	span	active	input	cache_create	cache_read	output
2026-09-18T09:43:51	57431c83-1aba-4409-897b-3bb9e018a40f	claude-sonnet-5	16	00:05:28	00:05:28	32	110255	1611062	2842
2026-09-18T09:52:04	4739876e-33e8-498d-bbed-f838a09d61de	claude-sonnet-5	11	00:02:30	00:02:30	22	49271	1089554	2232
